82,JG247,DS. SUMBERMANGGIS,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),3/1/2004,114.0931997,-8.436189401
83,JG207,DS.RINGINAGUNG,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),12/12/2012,114.0663447,-8.580068399
84,JG210,DS.KRAJAN,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),11/27/2012,114.1004252,-8.563131419
85,JF087,DS.KEBONREJO,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),8/3/2012,114.1405602,-8.485683675
86,JF094,DS.KEBONDALEM,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),12/27/2013,114.1419801,-8.470759363
87,JG338,DS. RINGINAGUNG,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),2/16/1987,114.083509,-8.573541144
88,JG273,DS. RINGINMULYO,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),5/21/2006,114.0747929,-8.57320658
89,JG064,DS. KRAJAN,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),4/24/2007,114.0990985,-8.565792789
90,JG006,DS. RINGINMULYO,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),7/18/2007,114.0982337,-8.573081506
91,JG271,DS. RINGINSARI,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),5/21/2002,114.112754,-8.583393842
92,JG270,DS. RINGINSARI,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),2/27/2004,114.1013812,-8.578424351
93,JG354,DS. RINGINSARI,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),9/25/2007,114.1132144,-8.591520691
94,JG005,DS. SUMBERURIP BARUREJO,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),5/16/2012,114.0884362,-8.44913625
95,JG231,DS. BLOKAGUNG,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),3/1/2004,114.106675,-8.44375856
96,JG347,DS. KARANGDORO,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),4/24/2012,114.1032384,-8.43850925
97,JG309,DS. BARUREJO,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),4/28/2012,114.1007511,-8.431392796
98,JG358,DS. KARANGDORO,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),10/13/2008,114.1019705,-8.426045256
99,JF053,DS. KEBONREJO,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),7/18/2007,114.1368341,-8.485484496
100,JF054,DS. KEBONDALEM,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),10/16/2007,114.1335854,-8.484102594
101,JF007,DS. KEBONDALEM,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),6/28/2007,114.1323642,-8.477629522
102,JF194,DS. KEBONDALEM,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),6/27/2007,114.1350749,-8.470747234
103,JF052,DS. GUNUNGSARI,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),7/18/2007,114.1492338,-8.479628346
104,JF008,DS. KEBONDALEM,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),4/8/2009,114.1309686,-8.472250552
105,JF055,DS. YUDOMULYO,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),11/27/2008,114.1356359,-8.491045916
106,JF168,DS. PASEMBON,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),2/21/2012,114.1461279,-8.495080457
107,JF167,DS. KEDUNGAGUNG,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),2/19/2008,114.1540117,-8.511216847
108,JG337,DS. PESANGGARAN,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),4/24/2007,114.0996761,-8.564607115
109,JG039,DS. SUMBERMULYO,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),3/1/2004,114.0910993,-8.564012642
110,JF050,DS. KARANGREJO,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),7/18/2007,114.1784491,-8.476687173
111,JF201,DS. PASEMBON,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),12/15/2009,114.1612802,-8.502244691
112,JF026,DS. KEDUNGREJO,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),7/18/2007,114.1607637,-8.507698649
